"","mcode","t","type","icu"
"1","130260",2020-01-01,"Non-COVID-19 ICU Hospitalizations",25.8607484298831
"2","130260",2021-01-01,"Non-COVID-19 ICU Hospitalizations",15.3632669243731
"3","130260",2020-02-01,"Non-COVID-19 ICU Hospitalizations",23.6080699952243
"4","130260",2021-02-01,"Non-COVID-19 ICU Hospitalizations",14.6424098252823
"5","130260",2020-03-01,"Non-COVID-19 ICU Hospitalizations",22.7971057587472
"6","130260",2021-03-01,"Non-COVID-19 ICU Hospitalizations",21.8960343848836
"7","130260",2020-04-01,"Non-COVID-19 ICU Hospitalizations",12.5699456653962
"8","130260",2021-04-01,"Non-COVID-19 ICU Hospitalizations",24.4640878003947
"9","130260",2020-05-01,"Non-COVID-19 ICU Hospitalizations",15.0028383748277
"10","130260",2021-05-01,"Non-COVID-19 ICU Hospitalizations",23.9234449760766
"11","130260",2020-06-01,"Non-COVID-19 ICU Hospitalizations",18.922498851134
"12","130260",2021-06-01,"Non-COVID-19 ICU Hospitalizations",24.4190342317015
"13","130260",2020-07-01,"Non-COVID-19 ICU Hospitalizations",21.5356058353382
"14","130260",2021-07-01,"Non-COVID-19 ICU Hospitalizations",24.5091413690878
"15","130260",2020-08-01,"Non-COVID-19 ICU Hospitalizations",22.9773200335199
"16","130260",2021-08-01,"Non-COVID-19 ICU Hospitalizations",25.1398913307923
"17","130260",2020-09-01,"Non-COVID-19 ICU Hospitalizations",21.98614152227
"18","130260",2021-09-01,"Non-COVID-19 ICU Hospitalizations",22.0311950909632
"19","130260",2020-10-01,"Non-COVID-19 ICU Hospitalizations",24.6893556438606
"20","130260",2021-10-01,"Non-COVID-19 ICU Hospitalizations",20.6345344614747
"21","130260",2020-11-01,"Non-COVID-19 ICU Hospitalizations",21.7608736788041
"22","130260",2021-11-01,"Non-COVID-19 ICU Hospitalizations",13.7863920201119
"23","130260",2020-12-01,"Non-COVID-19 ICU Hospitalizations",20.2290523432361
"24","130260",2021-12-01,"Non-COVID-19 ICU Hospitalizations",3.69439263284045
